ID;Maker; Genmodel; Genmodel_ID;Adv_year;Adv_month;Color;Reg_year;Bodytype;Runned_Miles;Engin_size;Gearbox;Fuel_type;Price;Seat_num;Door_num;issue;issue_id;Adv_day;breakdown_date;repair_complexity;repair_cost;repair_hours;repair_date;value
29455;Ford;Kuga;29_25;2018;4;Green;2015.0;SUV;34000;2.0L;Automatic;Diesel;17290.0;5.0;5.0;Starter Motor Issue;0;15;2018-04-15;1;232.9;3.0;2018-04-15;16423.78470696411
41446;Fiat;500;28_2;2018;8;White;2009.0;Hatchback;65000;1.2L;Manual;Petrol;3980.0;4.0;3.0;Warning Light;0;6;2018-08-06;1;219.8;9.0;2018-08-08;3784.5246778099527
42116;Fiat;500;28_2;2018;4;Black;2012.0;Hatchback;54491;1.2L;Manual;Petrol;4495.0;4.0;3.0;Flat Tyres;0;24;2018-04-24;1;21.3485;1.0;2018-04-24;4272.171246361211
32619;Citroen;DS4;21_3;2018;7;Silver;2011.0;Hatchback;98000;1.6L;Manual;still_Diesel_but_you_found_an_easteregg;4795.0;5.0;5.0;Starter Motor Issue;0;12;2018-07-12;2;167.95;6.0;2018-07-13;4552.297593381432
51078;Abarth;595;2_4;2018;6;Red;2014.0;Hatchback;49583;1.4L;Automatic;Petrol;11000.0;4.0;3.0;     Brake Pads Worn     ;0;20;2018-06-20;2;85.5;4.0;2018-06-21;10447.615695231589
43520;Fiat;Tipo;28_28;2018;8;White;2016.0;Estate;7000;1.4L;Manual;Petrol;10490.0;5.0;5.0;Excessive Emissions;0;6;2018-08-06;1;29.441;1.0;2018-08-06;9961.343187774724
21449;Dacia;Sandero;22_3;2018;5;Brown;2016.0;Hatchback;3850;0.9L;Manual;Petrol;7000.0;5.0;5.0;Flat Tyres;0;6;2018-05-06;1;22.1;1.0;2018-05-06;6654.220749045791
34409;Ford;C-Max;29_2;2018;4;Brown;2016.0;MPV;7425;1.5L;Manual;Diesel;12395.0;5.0;5.0;Excessive Emissions;0;5;2018-04-05;1;31.1555;1.0;2018-04-05;11773.654533178536
23008;Ford;C-Max;29_2;2018;8;Black;2007.0;MPV;67636;1.8L;Manual;Petrol;1990.0;5.0;5.0;Radiator Leaking;0;16;2018-08-16;1;79.80000000000001;2.0;2018-08-16;1888.8517671281963
12290;Ford;Focus;29_14;2018;7;White;2017.0;Hatchback;19541;1.0L;Manual;Petrol;11300.0;5.0;5.0;Tyre Alignment;0;22;2018-07-22;1;11.13;0.5;2018-07-22;10744.440864593567
30465;Ford;Focus;29_14;2018;5;Gelb;2012.0;Hatchback;68880;1.0L;Manual;Petrol;5999.0;5.0;5.0;Excessive Emissions;0;2;2018-05-02;1;25.3991;1.0;2018-05-02;5694.708291981472
48061;Ford;Ka;29_23;2018;8;Silver;2015.0;Hatchback;28000;1.2L;Manual;Petrol;5495.0;4.0;3.0;Engine Issue;2;13;2018-08-13;1;1144.25;16.0;2018-08-17;5225.506869688232
43647;Ford;C-Max;29_2;2018;3;Black;2017.0;MPV;1;1.0L;Manual;Petrol;12145.0;5.0;5.0;Tyre Alignment;0;26;2018-03-26;1;11.2145;0.5;2018-03-26;11529.800347499227
36260;Citroen;C4 Picasso;18_14;2018;7;White;2017.0;MPV;17905;1.6L;Automatic;Diesel;15000.0;5.0;5.0;Radiator Leaking;0;5;2018-07-05;2;380.0;4.0;2018-07-06;14247.699967012555
28289;Ford;Streetka;29_32;2018;1;Blue;2004.0;Convertible;67000;1.6L;Manual;Petrol;1495.0;2.0;2.0;Starter Motor Issue;0;24;2018-01-24;1;74.95;3.0;2018-01-24;1417.6795747611447
3426;Dacia;Duster;22_1;2017;7;White;2017.0;SUV;10;1.5L;Manual;still_Diesel_but_you_found_an_easteregg;11250.0;5.0;5.0;Radiator Leaking;0;10;2017-07-10;1;265.0;2.0;2017-07-10;10686.340262119122
43426;Ford;S-Max;29_31;2018;8;Blue;2016.0;MPV;12551;2.0L;Manual;Diesel;21995.0;7.0;5.0;   Sensor Malfunction   ;0;16;2018-08-16;1;1159.75;3.0;2018-08-16;20892.0496581484
2388;Ford;Kuga;29_25;2018;7;White;2015.0;SUV;48039;2.0L;Manual;Diesel;12898.0;5.0;5.0;Brake Pads Worn;0;6;2018-07-06;1;46.449;2.0;2018-07-06;12256.420963140496
35162;Citroen;C4 Cactus;18_13;2018;5;Black;2016.0;Hatchback;18725;1.2L;Manual;Petrol;9995.0;5.0;5.0;Engine Issue;3;25;2018-05-25;2;1479.5;24.0;2018-05-31;9486.538297200364
24619;Fiat;500;28_2;2018;8;Blue;2008.0;Hatchback;63000;1.2L;Manual;Petrol;2980.0;4.0;3.0;Alternator Failing;0;3;2018-08-03;1;99.6;2.0;2018-08-03;2829.423262383604
